time_sk,time,dayweek,month,year
1,04,Friday,12,2024
2,06,Friday,12,2024
3,09,Friday,12,2024
4,10,Friday,12,2024
5,11,Friday,12,2024
6,13,Friday,12,2024
7,17,Friday,12,2024
8,19,Friday,12,2024
9,22,Friday,12,2024
10,23,Friday,12,2024
11,01,Monday,12,2024
12,02,Monday,12,2024
13,09,Monday,12,2024
14,10,Monday,12,2024
15,12,Monday,12,2024
16,13,Monday,12,2024
17,14,Monday,12,2024
18,15,Monday,12,2024
19,16,Monday,12,2024
20,19,Monday,12,2024
21,20,Monday,12,2024
22,21,Monday,12,2024
23,02,Saturday,12,2024
24,03,Saturday,12,2024
25,04,Saturday,12,2024
26,08,Saturday,12,2024
27,10,Saturday,12,2024
28,11,Saturday,12,2024
29,12,Saturday,12,2024
30,14,Saturday,12,2024
31,15,Saturday,12,2024
32,16,Saturday,12,2024
33,20,Saturday,12,2024
34,21,Saturday,12,2024
35,22,Saturday,12,2024
36,02,Sunday,12,2024
37,04,Sunday,12,2024
38,06,Sunday,12,2024
39,08,Sunday,12,2024
40,11,Sunday,12,2024
41,12,Sunday,12,2024
42,13,Sunday,12,2024
43,14,Sunday,12,2024
44,16,Sunday,12,2024
45,17,Sunday,12,2024
46,18,Sunday,12,2024
47,22,Sunday,12,2024
48,23,Sunday,12,2024
49,01,Thursday,12,2024
50,09,Thursday,12,2024
51,12,Thursday,12,2024
52,15,Thursday,12,2024
53,16,Thursday,12,2024
54,17,Thursday,12,2024
55,22,Thursday,12,2024
56,04,Tuesday,12,2024
57,06,Tuesday,12,2024
58,08,Tuesday,12,2024
59,11,Tuesday,12,2024
60,13,Tuesday,12,2024
61,14,Tuesday,12,2024
62,15,Tuesday,12,2024
63,17,Tuesday,12,2024
64,18,Tuesday,12,2024
65,21,Tuesday,12,2024
66,22,Tuesday,12,2024
67,23,Tuesday,12,2024
68,00,Wednesday,12,2024
69,04,Wednesday,12,2024
70,12,Wednesday,12,2024
71,16,Wednesday,12,2024
72,17,Wednesday,12,2024
73,19,Wednesday,12,2024
74,02,Friday,11,2024
75,04,Friday,11,2024
76,07,Friday,11,2024
77,09,Friday,11,2024
78,10,Friday,11,2024
79,12,Friday,11,2024
80,13,Friday,11,2024
81,14,Friday,11,2024
82,17,Friday,11,2024
83,18,Friday,11,2024
84,20,Friday,11,2024
85,21,Friday,11,2024
86,22,Friday,11,2024
87,03,Monday,11,2024
88,06,Monday,11,2024
89,10,Monday,11,2024
90,11,Monday,11,2024
91,12,Monday,11,2024
92,14,Monday,11,2024
93,15,Monday,11,2024
94,16,Monday,11,2024
95,17,Monday,11,2024
96,20,Monday,11,2024
97,23,Monday,11,2024
98,03,Saturday,11,2024
99,05,Saturday,11,2024
100,06,Saturday,11,2024
101,09,Saturday,11,2024
102,10,Saturday,11,2024
103,11,Saturday,11,2024
104,15,Saturday,11,2024
105,16,Saturday,11,2024
106,17,Saturday,11,2024
107,18,Saturday,11,2024
108,19,Saturday,11,2024
109,21,Saturday,11,2024
110,23,Saturday,11,2024
111,00,Sunday,11,2024
112,01,Sunday,11,2024
113,02,Sunday,11,2024
114,03,Sunday,11,2024
115,06,Sunday,11,2024
116,07,Sunday,11,2024
117,08,Sunday,11,2024
118,09,Sunday,11,2024
119,10,Sunday,11,2024
120,11,Sunday,11,2024
121,12,Sunday,11,2024
122,14,Sunday,11,2024
123,17,Sunday,11,2024
124,21,Sunday,11,2024
125,00,Thursday,11,2024
126,02,Thursday,11,2024
127,04,Thursday,11,2024
128,05,Thursday,11,2024
129,09,Thursday,11,2024
130,12,Thursday,11,2024
131,13,Thursday,11,2024
132,16,Thursday,11,2024
133,17,Thursday,11,2024
134,18,Thursday,11,2024
135,05,Tuesday,11,2024
136,06,Tuesday,11,2024
137,08,Tuesday,11,2024
138,10,Tuesday,11,2024
139,11,Tuesday,11,2024
140,12,Tuesday,11,2024
141,14,Tuesday,11,2024
142,16,Tuesday,11,2024
143,17,Tuesday,11,2024
144,18,Tuesday,11,2024
145,20,Tuesday,11,2024
146,23,Tuesday,11,2024
147,01,Wednesday,11,2024
148,17,Wednesday,11,2024
149,18,Wednesday,11,2024
150,21,Wednesday,11,2024
151,22,Wednesday,11,2024
152,23,Wednesday,11,2024
153,06,Friday,10,2024
154,07,Friday,10,2024
155,10,Friday,10,2024
156,11,Friday,10,2024
157,15,Friday,10,2024
158,16,Friday,10,2024
159,17,Friday,10,2024
160,19,Friday,10,2024
161,20,Friday,10,2024
162,22,Friday,10,2024
163,23,Friday,10,2024
164,00,Monday,10,2024
165,02,Monday,10,2024
166,06,Monday,10,2024
167,08,Monday,10,2024
168,10,Monday,10,2024
169,14,Monday,10,2024
170,16,Monday,10,2024
171,18,Monday,10,2024
172,02,Saturday,10,2024
173,04,Saturday,10,2024
174,05,Saturday,10,2024
175,08,Saturday,10,2024
176,12,Saturday,10,2024
177,13,Saturday,10,2024
178,14,Saturday,10,2024
179,16,Saturday,10,2024
180,19,Saturday,10,2024
181,20,Saturday,10,2024
182,00,Sunday,10,2024
183,01,Sunday,10,2024
184,03,Sunday,10,2024
185,07,Sunday,10,2024
186,08,Sunday,10,2024
187,09,Sunday,10,2024
188,10,Sunday,10,2024
189,11,Sunday,10,2024
190,12,Sunday,10,2024
191,13,Sunday,10,2024
192,14,Sunday,10,2024
193,15,Sunday,10,2024
194,16,Sunday,10,2024
195,03,Thursday,10,2024
196,04,Thursday,10,2024
197,05,Thursday,10,2024
198,08,Thursday,10,2024
199,09,Thursday,10,2024
200,10,Thursday,10,2024
201,13,Thursday,10,2024
202,14,Thursday,10,2024
203,15,Thursday,10,2024
204,16,Thursday,10,2024
205,17,Thursday,10,2024
206,18,Thursday,10,2024
207,19,Thursday,10,2024
208,21,Thursday,10,2024
209,00,Tuesday,10,2024
210,04,Tuesday,10,2024
211,05,Tuesday,10,2024
212,06,Tuesday,10,2024
213,14,Tuesday,10,2024
214,18,Tuesday,10,2024
215,20,Tuesday,10,2024
216,21,Tuesday,10,2024
217,04,Wednesday,10,2024
218,13,Wednesday,10,2024
219,15,Wednesday,10,2024
220,16,Wednesday,10,2024
221,17,Wednesday,10,2024
222,18,Wednesday,10,2024
223,21,Wednesday,10,2024
224,23,Wednesday,10,2024
225,02,Friday,9,2024
226,08,Friday,9,2024
227,12,Friday,9,2024
228,14,Friday,9,2024
229,15,Friday,9,2024
230,17,Friday,9,2024
231,18,Friday,9,2024
232,20,Friday,9,2024
233,21,Friday,9,2024
234,10,Monday,9,2024
235,11,Monday,9,2024
236,13,Monday,9,2024
237,14,Monday,9,2024
238,17,Monday,9,2024
239,01,Saturday,9,2024
240,04,Saturday,9,2024
241,09,Saturday,9,2024
242,10,Saturday,9,2024
243,11,Saturday,9,2024
244,15,Saturday,9,2024
245,16,Saturday,9,2024
246,17,Saturday,9,2024
247,18,Saturday,9,2024
248,19,Saturday,9,2024
249,21,Saturday,9,2024
250,22,Saturday,9,2024
251,00,Sunday,9,2024
252,01,Sunday,9,2024
253,03,Sunday,9,2024
254,04,Sunday,9,2024
255,07,Sunday,9,2024
256,10,Sunday,9,2024
257,12,Sunday,9,2024
258,13,Sunday,9,2024
259,16,Sunday,9,2024
260,17,Sunday,9,2024
261,19,Sunday,9,2024
262,21,Sunday,9,2024
263,00,Thursday,9,2024
264,01,Thursday,9,2024
265,04,Thursday,9,2024
266,05,Thursday,9,2024
267,06,Thursday,9,2024
268,07,Thursday,9,2024
269,08,Thursday,9,2024
270,11,Thursday,9,2024
271,12,Thursday,9,2024
272,21,Thursday,9,2024
273,04,Tuesday,9,2024
274,08,Tuesday,9,2024
275,12,Tuesday,9,2024
276,16,Tuesday,9,2024
277,19,Tuesday,9,2024
278,22,Tuesday,9,2024
279,06,Wednesday,9,2024
280,09,Wednesday,9,2024
281,11,Wednesday,9,2024
282,13,Wednesday,9,2024
283,15,Wednesday,9,2024
284,16,Wednesday,9,2024
285,17,Wednesday,9,2024
286,18,Wednesday,9,2024
287,20,Wednesday,9,2024
288,22,Wednesday,9,2024
289,02,Friday,8,2024
290,05,Friday,8,2024
291,06,Friday,8,2024
292,08,Friday,8,2024
293,11,Friday,8,2024
294,13,Friday,8,2024
295,15,Friday,8,2024
296,17,Friday,8,2024
297,18,Friday,8,2024
298,19,Friday,8,2024
299,20,Friday,8,2024
300,21,Friday,8,2024
301,00,Monday,8,2024
302,02,Monday,8,2024
303,05,Monday,8,2024
304,07,Monday,8,2024
305,08,Monday,8,2024
306,09,Monday,8,2024
307,10,Monday,8,2024
308,15,Monday,8,2024
309,17,Monday,8,2024
310,19,Monday,8,2024
311,00,Saturday,8,2024
312,03,Saturday,8,2024
313,10,Saturday,8,2024
314,11,Saturday,8,2024
315,13,Saturday,8,2024
316,14,Saturday,8,2024
317,16,Saturday,8,2024
318,17,Saturday,8,2024
319,18,Saturday,8,2024
320,19,Saturday,8,2024
321,21,Saturday,8,2024
322,22,Saturday,8,2024
323,23,Saturday,8,2024
324,00,Sunday,8,2024
325,01,Sunday,8,2024
326,04,Sunday,8,2024
327,06,Sunday,8,2024
328,08,Sunday,8,2024
329,10,Sunday,8,2024
330,13,Sunday,8,2024
331,15,Sunday,8,2024
332,19,Sunday,8,2024
333,12,Thursday,8,2024
334,14,Thursday,8,2024
335,15,Thursday,8,2024
336,16,Thursday,8,2024
337,18,Thursday,8,2024
338,19,Thursday,8,2024
339,21,Thursday,8,2024
340,02,Tuesday,8,2024
341,04,Tuesday,8,2024
342,06,Tuesday,8,2024
343,10,Tuesday,8,2024
344,16,Tuesday,8,2024
345,18,Tuesday,8,2024
346,19,Tuesday,8,2024
347,20,Tuesday,8,2024
348,06,Wednesday,8,2024
349,09,Wednesday,8,2024
350,11,Wednesday,8,2024
351,18,Wednesday,8,2024
352,19,Wednesday,8,2024
353,20,Wednesday,8,2024
354,22,Wednesday,8,2024
355,08,Friday,7,2024
356,11,Friday,7,2024
357,12,Friday,7,2024
358,13,Friday,7,2024
359,14,Friday,7,2024
360,16,Friday,7,2024
361,22,Friday,7,2024
362,08,Monday,7,2024
363,09,Monday,7,2024
364,11,Monday,7,2024
365,12,Monday,7,2024
366,13,Monday,7,2024
367,14,Monday,7,2024
368,16,Monday,7,2024
369,19,Monday,7,2024
370,20,Monday,7,2024
371,22,Monday,7,2024
372,23,Monday,7,2024
373,00,Saturday,7,2024
374,02,Saturday,7,2024
375,08,Saturday,7,2024
376,09,Saturday,7,2024
377,10,Saturday,7,2024
378,14,Saturday,7,2024
379,15,Saturday,7,2024
380,19,Saturday,7,2024
381,20,Saturday,7,2024
382,23,Saturday,7,2024
383,00,Sunday,7,2024
384,04,Sunday,7,2024
385,06,Sunday,7,2024
386,07,Sunday,7,2024
387,09,Sunday,7,2024
388,10,Sunday,7,2024
389,11,Sunday,7,2024
390,13,Sunday,7,2024
391,14,Sunday,7,2024
392,17,Sunday,7,2024
393,18,Sunday,7,2024
394,19,Sunday,7,2024
395,03,Thursday,7,2024
396,04,Thursday,7,2024
397,06,Thursday,7,2024
398,09,Thursday,7,2024
399,10,Thursday,7,2024
400,11,Thursday,7,2024
401,12,Thursday,7,2024
402,13,Thursday,7,2024
403,15,Thursday,7,2024
404,16,Thursday,7,2024
405,17,Thursday,7,2024
406,20,Thursday,7,2024
407,06,Tuesday,7,2024
408,07,Tuesday,7,2024
409,08,Tuesday,7,2024
410,09,Tuesday,7,2024
411,11,Tuesday,7,2024
412,14,Tuesday,7,2024
413,15,Tuesday,7,2024
414,16,Tuesday,7,2024
415,17,Tuesday,7,2024
416,18,Tuesday,7,2024
417,19,Tuesday,7,2024
418,20,Tuesday,7,2024
419,22,Tuesday,7,2024
420,00,Wednesday,7,2024
421,01,Wednesday,7,2024
422,03,Wednesday,7,2024
423,04,Wednesday,7,2024
424,06,Wednesday,7,2024
425,09,Wednesday,7,2024
426,10,Wednesday,7,2024
427,13,Wednesday,7,2024
428,14,Wednesday,7,2024
429,16,Wednesday,7,2024
430,17,Wednesday,7,2024
431,18,Wednesday,7,2024
432,22,Wednesday,7,2024
433,23,Wednesday,7,2024
434,08,Friday,6,2024
435,12,Friday,6,2024
436,14,Friday,6,2024
437,16,Friday,6,2024
438,17,Friday,6,2024
439,18,Friday,6,2024
440,19,Friday,6,2024
441,21,Friday,6,2024
442,23,Friday,6,2024
443,03,Monday,6,2024
444,08,Monday,6,2024
445,09,Monday,6,2024
446,10,Monday,6,2024
447,11,Monday,6,2024
448,13,Monday,6,2024
449,14,Monday,6,2024
450,15,Monday,6,2024
451,17,Monday,6,2024
452,19,Monday,6,2024
453,21,Monday,6,2024
454,22,Monday,6,2024
455,00,Saturday,6,2024
456,06,Saturday,6,2024
457,07,Saturday,6,2024
458,12,Saturday,6,2024
459,15,Saturday,6,2024
460,16,Saturday,6,2024
461,18,Saturday,6,2024
462,21,Saturday,6,2024
463,22,Saturday,6,2024
464,23,Saturday,6,2024
465,00,Sunday,6,2024
466,03,Sunday,6,2024
467,09,Sunday,6,2024
468,10,Sunday,6,2024
469,11,Sunday,6,2024
470,12,Sunday,6,2024
471,13,Sunday,6,2024
472,14,Sunday,6,2024
473,16,Sunday,6,2024
474,20,Sunday,6,2024
475,21,Sunday,6,2024
476,23,Sunday,6,2024
477,08,Thursday,6,2024
478,10,Thursday,6,2024
479,17,Thursday,6,2024
480,18,Thursday,6,2024
481,19,Thursday,6,2024
482,21,Thursday,6,2024
483,,Thursday,6,2024
484,05,Tuesday,6,2024
485,06,Tuesday,6,2024
486,07,Tuesday,6,2024
487,08,Tuesday,6,2024
488,10,Tuesday,6,2024
489,11,Tuesday,6,2024
490,14,Tuesday,6,2024
491,15,Tuesday,6,2024
492,17,Tuesday,6,2024
493,21,Tuesday,6,2024
494,00,Wednesday,6,2024
495,03,Wednesday,6,2024
496,06,Wednesday,6,2024
497,09,Wednesday,6,2024
498,11,Wednesday,6,2024
499,12,Wednesday,6,2024
500,13,Wednesday,6,2024
501,17,Wednesday,6,2024
502,21,Wednesday,6,2024
503,22,Wednesday,6,2024
504,23,Wednesday,6,2024
505,14,Friday,5,2024
506,15,Friday,5,2024
507,16,Friday,5,2024
508,18,Friday,5,2024
509,20,Friday,5,2024
510,21,Friday,5,2024
511,22,Friday,5,2024
512,03,Monday,5,2024
513,09,Monday,5,2024
514,12,Monday,5,2024
515,17,Monday,5,2024
516,19,Monday,5,2024
517,14,Saturday,5,2024
518,16,Saturday,5,2024
519,17,Saturday,5,2024
520,00,Sunday,5,2024
521,05,Sunday,5,2024
522,12,Sunday,5,2024
523,14,Sunday,5,2024
524,16,Sunday,5,2024
525,18,Sunday,5,2024
526,19,Sunday,5,2024
527,22,Sunday,5,2024
528,05,Thursday,5,2024
529,07,Thursday,5,2024
530,08,Thursday,5,2024
531,10,Thursday,5,2024
532,12,Thursday,5,2024
533,16,Thursday,5,2024
534,17,Thursday,5,2024
535,19,Thursday,5,2024
536,20,Thursday,5,2024
537,23,Thursday,5,2024
538,,Thursday,5,2024
539,02,Tuesday,5,2024
540,05,Tuesday,5,2024
541,06,Tuesday,5,2024
542,07,Tuesday,5,2024
543,08,Tuesday,5,2024
544,10,Tuesday,5,2024
545,11,Tuesday,5,2024
546,13,Tuesday,5,2024
547,15,Tuesday,5,2024
548,16,Tuesday,5,2024
549,17,Tuesday,5,2024
550,18,Tuesday,5,2024
551,19,Tuesday,5,2024
552,22,Tuesday,5,2024
553,00,Wednesday,5,2024
554,04,Wednesday,5,2024
555,05,Wednesday,5,2024
556,07,Wednesday,5,2024
557,08,Wednesday,5,2024
558,11,Wednesday,5,2024
559,13,Wednesday,5,2024
560,15,Wednesday,5,2024
561,16,Wednesday,5,2024
562,17,Wednesday,5,2024
563,18,Wednesday,5,2024
564,19,Wednesday,5,2024
565,20,Wednesday,5,2024
566,21,Wednesday,5,2024
567,23,Wednesday,5,2024
568,00,Friday,4,2024
569,01,Friday,4,2024
570,03,Friday,4,2024
571,12,Friday,4,2024
572,13,Friday,4,2024
573,15,Friday,4,2024
574,18,Friday,4,2024
575,23,Friday,4,2024
576,04,Monday,4,2024
577,07,Monday,4,2024
578,08,Monday,4,2024
579,12,Monday,4,2024
580,13,Monday,4,2024
581,14,Monday,4,2024
582,16,Monday,4,2024
583,19,Monday,4,2024
584,01,Saturday,4,2024
585,02,Saturday,4,2024
586,07,Saturday,4,2024
587,08,Saturday,4,2024
588,09,Saturday,4,2024
589,11,Saturday,4,2024
590,12,Saturday,4,2024
591,19,Saturday,4,2024
592,22,Saturday,4,2024
593,00,Sunday,4,2024
594,02,Sunday,4,2024
595,05,Sunday,4,2024
596,08,Sunday,4,2024
597,09,Sunday,4,2024
598,10,Sunday,4,2024
599,11,Sunday,4,2024
600,12,Sunday,4,2024
601,13,Sunday,4,2024
602,14,Sunday,4,2024
603,15,Sunday,4,2024
604,18,Sunday,4,2024
605,19,Sunday,4,2024
606,21,Sunday,4,2024
607,22,Sunday,4,2024
608,00,Thursday,4,2024
609,02,Thursday,4,2024
610,06,Thursday,4,2024
611,07,Thursday,4,2024
612,08,Thursday,4,2024
613,09,Thursday,4,2024
614,11,Thursday,4,2024
615,12,Thursday,4,2024
616,13,Thursday,4,2024
617,14,Thursday,4,2024
618,15,Thursday,4,2024
619,18,Thursday,4,2024
620,04,Tuesday,4,2024
621,09,Tuesday,4,2024
622,10,Tuesday,4,2024
623,12,Tuesday,4,2024
624,13,Tuesday,4,2024
625,14,Tuesday,4,2024
626,15,Tuesday,4,2024
627,16,Tuesday,4,2024
628,17,Tuesday,4,2024
629,19,Tuesday,4,2024
630,20,Tuesday,4,2024
631,21,Tuesday,4,2024
632,04,Wednesday,4,2024
633,06,Wednesday,4,2024
634,12,Wednesday,4,2024
635,13,Wednesday,4,2024
636,15,Wednesday,4,2024
637,16,Wednesday,4,2024
638,17,Wednesday,4,2024
639,22,Wednesday,4,2024
640,01,Friday,3,2024
641,03,Friday,3,2024
642,05,Friday,3,2024
643,11,Friday,3,2024
644,12,Friday,3,2024
645,13,Friday,3,2024
646,14,Friday,3,2024
647,15,Friday,3,2024
648,17,Friday,3,2024
649,19,Friday,3,2024
650,21,Friday,3,2024
651,22,Friday,3,2024
652,23,Friday,3,2024
653,02,Monday,3,2024
654,03,Monday,3,2024
655,11,Monday,3,2024
656,14,Monday,3,2024
657,15,Monday,3,2024
658,20,Monday,3,2024
659,22,Monday,3,2024
660,02,Saturday,3,2024
661,06,Saturday,3,2024
662,08,Saturday,3,2024
663,11,Saturday,3,2024
664,13,Saturday,3,2024
665,14,Saturday,3,2024
666,16,Saturday,3,2024
667,18,Saturday,3,2024
668,22,Saturday,3,2024
669,23,Saturday,3,2024
670,04,Sunday,3,2024
671,07,Sunday,3,2024
672,09,Sunday,3,2024
673,11,Sunday,3,2024
674,12,Sunday,3,2024
675,15,Sunday,3,2024
676,17,Sunday,3,2024
677,18,Sunday,3,2024
678,19,Sunday,3,2024
679,20,Sunday,3,2024
680,21,Sunday,3,2024
681,22,Sunday,3,2024
682,00,Thursday,3,2024
683,02,Thursday,3,2024
684,03,Thursday,3,2024
685,05,Thursday,3,2024
686,06,Thursday,3,2024
687,09,Thursday,3,2024
688,10,Thursday,3,2024
689,11,Thursday,3,2024
690,12,Thursday,3,2024
691,13,Thursday,3,2024
692,14,Thursday,3,2024
693,15,Thursday,3,2024
694,16,Thursday,3,2024
695,17,Thursday,3,2024
696,20,Thursday,3,2024
697,23,Thursday,3,2024
698,03,Tuesday,3,2024
699,05,Tuesday,3,2024
700,07,Tuesday,3,2024
701,09,Tuesday,3,2024
702,14,Tuesday,3,2024
703,17,Tuesday,3,2024
704,19,Tuesday,3,2024
705,02,Wednesday,3,2024
706,05,Wednesday,3,2024
707,06,Wednesday,3,2024
708,14,Wednesday,3,2024
709,20,Wednesday,3,2024
710,03,Friday,2,2024
